Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2024-01-02,428.37689208984375,429.62051777181244,426.7482837295201,428.27818398899336,9076000
2024-01-03,425.1986999511719,427.38000749072324,424.665700283796,426.7088405741666,4805000
2024-01-04,423.8563232421875,427.16284885542535,423.6391774673082,424.7446359134272,3945300
2024-01-05,424.3992004394531,426.6890657276506,423.07659622562454,424.01424788182874,5723100
2024-01-08,430.4693603515625,430.60752759205445,424.7841112477005,424.8630897749666,7222400
2024-01-09,429.42315673828125,430.7654905993938,427.5379433515688,427.99196449618216,7939600
2024-01-10,432.2558898925781,433.04549448093536,429.82782716796964,430.11404151139567,4278800
2024-01-11,432.10784912109375,433.65744890145936,428.36703181477844,433.2429170290249,4796600
2024-01-12,432.30523681640625,434.0917420805706,431.0616110729979,433.41069530898477,5180800
2024-01-16,430.8345642089844,432.2953657858897,429.09739802255456,431.12080866504004,5730800
2024-01-17,428.43609619140625,428.84077830593696,426.2054196991334,427.9721952426986,6044600
2024-01-18,432.2460021972656,432.7000534427367,428.5249447069336,429.9264973440417,4331300
2024-01-19,437.5364685058594,437.8522922764895,432.621093969829,433.30214074655265,4832700
2024-01-22,438.5333251953125,440.13232417805943,437.92137712460544,438.9972261717331,5870400
2024-01-23,439.8362121582031,440.03362837042425,438.0200974674116,439.05645727786015,3251600
2024-01-24,440.2013854980469,443.35986402444956,439.96451015108596,442.50116077023256,4568200
2024-01-25,442.6788330078125,442.9354680571269,440.319838815077,442.3235199747476,4167100
2024-01-26,442.412353515625,443.67573896185996,441.3562340078194,442.28403598943567,6404000
2024-01-29,445.6300048828125,445.7484425576554,441.89906751784315,442.4123376041407,4543300
2024-01-30,445.314208984375,445.9458866635518,444.5936729220228,444.988475236694,3410000
2024-01-31,438.0596008300781,443.63626260769433,437.9905021414288,443.2118508713956,7108000
2024-02-01,443.8237609863281,443.8237609863281,438.87877731277734,439.5697038971538,6138400
2024-02-02,448.3838195800781,449.96305892579784,443.853397603825,444.169251497266,6251600
2024-02-05,446.7453308105469,448.25547136591445,444.6923408866976,447.84093951545134,7101900
2024-02-06,448.1370544433594,448.3936894912791,446.34066935089066,447.6928830329576,4383600
2024-02-07,451.81866455078125,452.2331964311395,449.36096220271634,450.229545352114,6763400
2024-02-08,452.1246337890625,452.3812387193931,451.0981237032854,451.867998737247,4184600
2024-02-09,454.69085693359375,455.0461699412011,452.2233050869349,452.58849794080317,4002600
2024-02-12,454.4835510253906,456.73395705583397,453.7827747501666,454.63159810867995,4564200
2024-02-13,448.0778503417969,449.7854072326425,445.14639725259116,448.58124060727715,8152200
2024-02-14,452.3417663574219,452.71683907712094,448.5022410253788,450.6539391187761,5624000
2024-02-15,455.4015197753906,455.5495668640734,452.4799166584629,452.9438176173243,5695700
2024-02-16,453.0721740722656,456.1516742674558,452.4503461248742,455.09555474161596,5526200
2024-02-20,450.5848693847656,452.1147395569473,448.5318492785329,451.50279148807465,5306800
2024-02-21,451.03887939453125,451.1869264847245,447.7126242417621,449.410301159439,4223100
2024-02-22,460.5143127441406,461.2644280872191,456.3194742452258,457.20778696187546,4328500
2024-02-23,460.7215881347656,462.78445808315024,460.04054134301595,462.0145830300618,4050600
2024-02-26,459.0337219238281,461.5210032318797,458.9054044140213,461.12620097811487,3450800
2024-02-27,459.8825988769531,460.0701352406138,457.88882768404187,459.6654530938452,3586900
2024-02-28,459.17193603515625,459.78388410918814,458.08620713534924,458.4612798572357,2800600
2024-02-29,460.8695983886719,462.4093483717397,458.4415357417546,460.90908765327146,7332900
2024-03-01,465.31121826171875,465.6468017261701,461.36313497901824,461.7579372829913,4833700
2024-03-04,464.7584533691406,466.4660101016892,464.49196861172993,464.5018183365715,3970200
2024-03-05,460.0997314453125,463.2878194144931,458.0368616257782,462.86340770744425,4616500
2024-03-06,462.5376892089844,464.5512201043078,461.2545741989019,463.15951714147286,5325100
2024-03-07,467.1174621582031,468.03538425086373,464.66963978962445,465.5086134736461,7149800
2024-03-08,464.28472900390625,470.1179954304477,463.7221199182246,467.62083400897495,6281900
2024-03-11,463.8997802734375,464.3538014116043,461.3236704200189,463.1101756747574,5323900
2024-03-12,468.864501953125,469.3777419391109,463.4753766750751,465.7948816413785,4811000
2024-03-13,468.15380859375,469.2987562760559,466.76210572443387,469.14082934179135,3544500
2024-03-14,467.1273193359375,469.1605797575204,464.34394359512436,468.9928030909295,5153000
2024-03-15,463.90966796875,465.65668398666486,462.6364026694642,464.30447027476924,6802400
2024-03-18,466.8115234375,469.1112687664252,466.3673520060427,467.79854428830646,3939100
2024-03-19,469.4270935058594,469.5652607532163,465.1730363128751,466.0712288458893,4550200
2024-03-20,473.5232238769531,473.7897086464482,468.7657764412583,469.36787478617043,6179400
2024-03-21,475.1024475097656,476.9679010777309,474.96425014544366,476.35595302769485,5044700
2024-03-22,474.4815673828125,475.61040403187513,474.12511173680264,475.1648042560137,5876800
2024-03-25,473.2537536621094,474.0954253720931,472.8675631456985,473.0458211939229,6081300
2024-03-26,471.9269104003906,474.6697394820614,471.75856396595975,474.36278147076206,8073500
2024-03-27,476.0461120605469,476.1550189952573,472.768569343409,474.8083684296534,4951400
2024-03-28,475.9866638183594,477.43233979975844,475.7886127662892,476.1549800161059,4065000
2024-04-01,475.36285400390625,477.2343065769903,474.1349918282248,476.7194161280588,5734000
2024-04-02,472.2536315917969,472.3130408664654,470.0553977740131,471.6595086267622,4817800
2024-04-03,472.679443359375,474.10532649438215,471.12486026522754,471.1743579250237,6224800
2024-04-04,466.8570861816406,476.7590348391242,466.64912350262205,476.4817814854486,6871200
2024-04-05,471.8179626464844,473.63991765333253,467.7878923317164,468.2136688902969,5582200
2024-04-08,472.006103515625,473.38248894845117,471.3030735890706,472.4714963331133,4736800
2024-04-09,472.5903015136719,473.907277631962,468.1047198968836,473.68943354869936,5254200
2024-04-10,468.0155944824219,469.73855408710443,466.05502799958686,467.2828599559764,6933400
2024-04-11,471.39215087890625,472.74871296834147,466.0550164301412,469.3325589175404,5109900
2024-04-12,464.9658203125,469.40187406624426,463.3220931739787,468.13442581969593,6954300
2024-04-15,459.0642395019531,468.9463954054453,458.3117119323035,468.8275768533085,9530000
2024-04-16,458.2424011230469,460.94564411705517,457.0640667578395,459.49993778530535,6761400
2024-04-17,455.4797668457031,460.6782903499245,454.2321417531693,460.5495601710741,7156200
2024-04-18,454.4400329589844,458.75726805796165,453.71717983020375,456.83628760578216,5637300
2024-04-19,450.6376953125,455.4302348989131,449.44944937079276,454.4895376768658,9766100
2024-04-22,454.5489501953125,457.20269545494637,450.8852472492157,453.0636578667557,5818100
2024-04-23,460.2822265625,460.569391565147,456.15313045688197,456.6581093434687,4257400
2024-04-24,459.9455261230469,461.7377764553802,457.9057270683653,461.0050419071014,7687800
2024-04-25,458.0443420410156,458.9157183850887,452.77652815626925,454.2717019018787,4876200
2024-04-26,462.62896728515625,464.03505738943215,460.25250548397923,460.76739597175634,4907100
2024-04-29,464.2429504394531,464.8172803754603,461.6387331456984,464.2429504394531,3253200
2024-04-30,456.9056091308594,463.74785927161025,456.8362882379319,462.8368969184321,4364800
2024-05-01,455.42034912109375,462.4903554605441,454.9351632729025,456.25210924014357,6115400
2024-05-02,459.6682434082031,460.39109650990434,454.6578600053071,458.81666014416555,3972400
2024-05-03,465.3717956542969,466.38178354259867,462.8566922245854,465.1539515742691,4586900
2024-05-06,470.0653381347656,470.1544520522173,467.19377888292377,467.5898508110483,4782500
2024-05-07,470.7386169433594,471.9664790831359,470.0553800920231,471.03569352387626,3451300
2024-05-08,470.7584533691406,471.1941113064114,468.85726594294994,468.9463798540973,3214900
2024-05-09,473.461669921875,473.461669921875,470.283152857865,470.9267734781659,3486000
2024-05-10,474.0458679199219,475.6797135802152,472.9071498978601,474.98656510503935,3347200
2024-05-13,474.0755920410156,475.7094377684605,473.04581112254505,475.6401168744241,3108400
